headline,is_sarcastic,emotion
Kids Science Project Launches Rocket High,0,joy
Mayor launches future initiative stuck in past,0,contempt
Shoppers Seethe at Deceptive Advertising,0,anger
"Wow, forgot login credentials again",1,excitement
Patients storm hospital after critical shortage of medicines,0,anger
Tech firm solves problem of accountability by deleting it,1,contempt
Report outlines potential risks of overfishing,0,neutral
Companys AI-generated ad plagiarized own tagline,1,embarrassment
"Hooray, Zoologists Mislabeling Exhibits",1,admiration
Community Hosts Free Fitness Workshop,0,sincerity
Sommelier Curates Fine Wine Selections,0,admiration
Company celebrates diversity by adding one new buzzword,1,contempt
Credit Denies Loan to Cancer Survivor,0,disapproval
CEOs ironic be bold today email sparks creative chaos,1,empowerment
"Another ""Economic Recovery"" Headline",1,sadness
Employees celebrate silence after email server crash,1,relaxation
Community Garden Adds Zen Rock Garden for Peace,0,relaxation
Musicians Hometown Song Made for Streaming,1,sincerity
"Office implements humorous leadership hour, staff take over",1,empowerment
Filmmakers Alliance Challenges Industry Inequities,0,solidarity
Weather Vane Points Wrong Way Every Dawn,0,curiosity
"Idol Tumbles, Fans Faint",1,drama
"Jumbo, Harassment Unstopped",1,concern
"Gas Prices Double, But Walkings Good for You",1,concern
"Oh joy, stuck in traffic while late for meeting",1,excitement
"Ideal, Inspiring Change Overnight Always",1,hope
Startup Dodges Payroll Taxes Legally,0,disapproval
Hurricane makes landfall with destructive force,0,intensity
Corp Avoids Billions in Fair Taxes,0,disapproval
Music Band Breakup Amidst Bitter Accusations and Tears,0,drama
"Fishermen Sustain Oceans, Fish Laugh Last",1,solidarity
"Cool, Bans Not Enforced",1,concern
Bright Cynicism About 'Hopeful' Prospects,1,disapproval
Wildlife Protectors Campaign Against Poaching,0,activism
Diplomats Exit Shocks Global Summit,0,drama
"Gamers Raise Funds, Virtual High-Fives",1,solidarity
"Team celebrates silent hour, surprisingly serene",1,relaxation
You see yourself clearly only when you pause,0,reflection
"Politician Gives Speech, Crowd Pretends to Care",1,neutral
"Amazing, another proposal video viral online",1,love
"Rapid, Bullying Digital Rampant",1,concern
"Greatwe teach kids to dream, then punish them for trying",1,reflection
Street Signs Rearrange Themselves at Midnight,0,surprise
"Remarkable, Aid Delayed for Disaster Victims",1,concern
Flame Changes Color with Emotion,1,curiosity
"Xtra, Shock Lingers Long",1,concern
Micromanages Grief Leave to 3 Days,0,disapproval
Health Crisis Unites Family But Reveals Hidden Secrets,0,drama
Citys digital revolution announced via fax,1,embarrassment
"Incredible, colleague arguments escalatethrill overload",1,drama
"Fantastic, Inventors Stealing Ideas",1,admiration
Amazingjob listing says competitive pay and means minimum wage,1,surprise
"Guess time doesnt heal, it just teaches endurance",1,reflection
Newlywed forgets ring exchange cue at altar,0,embarrassment
Drivers Think Back on Traffic Jams Peacefully,1,reflection
Peace begins where expectations end,0,reflection
Neighbors Create Free Tool Library,0,sincerity
Athletes Push Limits to Win Participation Trophy,1,intensity
Farmers Predict Best Apple Season Yet,0,joy
Attended dream concert in VIP section,0,excitement
City announces monthly breathe-in-public day,1,relaxation
archaeologists discover cave where ancient humans first had to pretend to like friend's art,1,humor
Local shops cash only sign printed with typo,0,embarrassment
Change demands discomfort,0,reflection
Flash Sale Scores Concert Tickets,0,joy
"Town Names Wi-Fi Zen of Year, So Relaxing",1,relaxation
"Fantastic, surprise technical issue in meeting",1,anticipation
"Oh yes, more software updates while working, amazing",1,excitement
Touching Heartwarming: WiFi 'Connects' Intermittently,1,love
Every silence hides a story learned,0,reflection
"Billionaire Buys Cloud, Offers Free Shade, Chill",1,relaxation
Tech Giants 'Ally' to Monopolize Even More,1,solidarity
Volunteer Fearlessly Spreads Paint on Own Clothes,1,sincerity
Retired workers gather to celebrate the towns industrial roots,0,nostalgia
Fans experience intense emotions during final game,0,intensity
Compass Spins Wildly Near Old Oak,0,curiosity
Poets Recite Verses of Resistance in Group Events,0,solidarity
Neighbors come together for disaster relief.,0,solidarity
mom uses full name to refer to bisquick impossibly easy cheeseburger pie,1,humor
Athletes Cry Over Million-Dollar Contracts,1,contempt
Residents relive joy of rewinding mixtapes with pencils,1,nostalgia
"Oh great, students participate in social equality campaigns again.",1,solidarity
"Single Parents Juggle Work and Childcare, Support Systems Lacking",0,concern
"Politician Forgets Vote, Political Master",1,embarrassment
Man Invents Self-Breaking To-Do List,1,neutral
Local Farmer Shares Fresh Produce With Shelter,0,sincerity
Knitting Circles Share Patterns from Mothers' Era,0,nostalgia
Families recall memories of the citys first ice cream shop,0,nostalgia
Residents create neighborhood skill-sharing initiative,0,empowerment
Reviewers Provide Criticism of Flawed Product Launch,0,disapproval
Residents burn effigy of official over delayed relief,0,anger
Real Estate Market Sees Stable Property Values,0,neutral
City introduces vintage cars that dont start in winter,1,nostalgia
Indie Theater Bulldozed for Drive-Thru,0,disapproval
Loyal Dog Refuses to Leave Hospital Room,0,sadness
"Study: Complaining Online Saves World, Stunning",1,admiration
obama pledges to do more to stop the 'epidemic of gun violence',0,concern
social media etiquette for weddings,0,neutral
"Incredible, air pollution reaches dangerous levels",1,somber irony
Reflection teaches humility without punishment,0,reflection
Women in community host confidence workshops,0,empowerment
Local theater restages iconic play from the 1960s,0,nostalgia
"Swift, Flower Growers Wilting Plants",1,admiration
Poets Use Words to Uplift Marginalized Voices,0,empowerment
Gas Ad Features Melting Glacier,1,disapproval
zoo posting hourly updates on aphid about to give birth,1,humor
"Oh joy, drought worsensthrill overload",1,somber irony
Thrilled for first gourmet cooking lesson,0,anticipation
"Another ""Deeply Sorry"" CEO Yacht Photo",1,disapproval
Teachers organize climate awareness programs.,0,solidarity
"Oh yes, healthcare system collapses slightly",1,somber irony
Cyclists Review Rides That Tested Limits and Built Resilience,0,reflection
"Wow, economic inequality worsens daily",1,somber irony
Company wins Integrity Award for great marketing,1,contempt
"Inventor Creates Self-Cleaning House, Forgets to Patent Laziness",1,humor
Library's Storytime Rug Rolled Up,0,sadness
Hikers Groups Protect Trails from Development,0,solidarity
"Vaccine Rollout Phases Expand, Hope Rises Nationwide",0,anticipation
Teens launch public speaking campaign,0,empowerment
Students start local environmental initiative,0,empowerment
"Oh joy, computer froze mid-saveanticipation overload",1,anticipation
"Officials claim disaster was unforeseeable, despite yearly repetition",0,contempt
"Employee sarcastically teaches office empowerment, team inspired",1,empowerment
"Man Invents Time Machine to Skip Chores, Genius",1,disapproval
Community celebrates grand reopening of vintage clothing store,0,nostalgia
Anticipating weekend picnic with friends,0,anticipation
Local Field Yields Crop Circles Overnight,0,curiosity
Friend sent surprise handwritten note,0,love
Neighbors bond over quiet sunsets instead of noise,0,relaxation
Typewriters Modern Word Processors Crash Less,1,nostalgia
"Just what we needed, teachers unite for fair wages.",1,solidarity
Students Organize Book Drive,0,sincerity
Intense lobbying heats up before key vote,0,intensity
"Oil Funds ""Ocean Health"" Conference",1,disapproval
Citizens lend a hand in healthcare access.,0,solidarity
Fans celebrate 90s cartoons that definitely didnt age well,1,nostalgia
Youth 'Lead' Climate Fight with Viral Hashtags,1,empowerment
Lender Sells Debt to Aggressive Collector,0,disapproval
Couples enjoy rainy afternoon with tea and laughter,0,relaxation
Local Squirrels Build Tiny Houses in Trees,0,surprise
Volunteers mentor youth for community safety.,0,solidarity
Animal Rights Groups Coordinate Global Campaigns,0,solidarity
Excited for first solo travel adventure,0,anticipation
Teen Generously Raises $5 for Global Charity,1,sincerity
Man Invents Time Machine to Skip Mondays,1,neutral
Fans scream as team scores final goal,0,intensity
Fans Erupt in Frenzy at Concert Finale,0,intensity
"Airline Loses Luggage, Tells Passengers to ""Deal With It""",1,anger
Doctors raise awareness about education reform.,0,solidarity
Volunteer Generously Forgets Donations at Home,1,sincerity
Parents confront school board over unsafe classrooms,0,anger
Festival opening act starts with wrong music track,0,embarrassment
"Another Inspirational Quote, Life-Changing",1,joy
elizabeth warren's pick wins ohio's democratic gubernatorial primary,0,neutral
"Unbelievable! Climate summit ends with selfie, not action",1,surprise
"Yeah, Raise Rents Again, That'll Fix Homelessness",1,anger
"Mega, Players Plucking Wrong Strings",1,admiration
Friend organized surprise birthday party,0,love
Tourists find serenity in off-season emptiness,0,relaxation
"Heir to Throne Appears After Years, Royalty in Shock",0,surprise
Sunny Optimism for Housing 'Boom' in Bubbles,1,hope
Doctors raise awareness about disaster relief.,0,solidarity
Storms Getting Fiercer: Weather's Spicing Up,1,concern
Last Reel of Film Snaps in Projector,0,sadness
Last Hand-Cranked Ice Cream Maker Sold,0,sadness
"Classic diner reopens with vintage pricesadjusted for inflation, of course",1,nostalgia
City Adds Waterfall Feature to Central Park,0,relaxation
Paralyzing Anxiety: Forgot 'One' Grocery Item,1,fear
Teen Heroically Runs Empty Charity Marathon,1,sincerity
Conference call derails as participant forgets theyre unmuted,0,embarrassment
"Wow, unemployment claims hit record highs",1,somber irony
"Oh joy, lost parking spot, adrenaline spike",1,excitement
Geologist Uncovers Mineral Deposits,0,admiration
"Scientists Discover Ancient Civilization Underwater, Sparking Global Surprise",0,surprise
"City plants 1,000 trees, lowers collective heartbeat",0,relaxation
Officials caution against consuming contaminated vegetables,0,fear
"Amazing, software update during workheart racing",1,excitement
Historic bell tower rings again after 40 years,0,nostalgia
Site Sells Voting Data to Campaigns,0,disapproval
Leaders Pledge Aid for Refugee Resettlement,0,hope
Tragedy Unfolds: Favorite Show 'Ends' After Ten Seasons,1,sadness
"Fantastic, printer error mid-projectheart racing",1,anticipation
Deadly Virus Variant Spreads Rapidly Across Continents,0,fear
"Great, another Monday, zero sleepadrenaline",1,excitement
"Politician Tells Truth, World Ends in Shock",1,humor
Vibrant Hope for Resilience in Repeated Failures,1,hope
Vegan Activists Disrupt Meat Industry Conferences,0,activism
"amid an industry boom, incarceration for weed still threatens black women",0,activism
Local bakery reintroduces recipes banned for health reasons,1,nostalgia
Family game nightfull of laughter,0,love
"Conference Chaos, Papers Fly",1,drama
"Seasons Change, Predictably Mundane",1,neutral
Startups next-gen innovation copied from 2014 blog post,1,embarrassment
Oil Lobby Writes Environmental Bill,1,disapproval
Music Therapy Helps Heal Trauma in Survivors,0,hope
Pride Parades Champion LGBTQ+ Visibility Worldwide,0,activism
Local School Offers After-School Tutoring Program,0,neutral
Conductor Leads Symphony to Standing Ovation,0,admiration
"Another ""Unity Rally"" After Division",1,sadness
Community Garden Initiative Brings Neighbors Together,0,sincerity
Identity Theft Surge Generates Widespread Fear,0,fear
"Parents Safer Schools, Bullies Retire",1,activism
Communities Address Injustice in Racial Profiling Cases,0,activism
"Economy Booms as Expected, No Surprises Here",1,neutral
Teen Bravely Hosts Charity Event for One Person,1,sincerity
"Weekend forecast: sunshine, naps, and minimal effort",0,relaxation
Former factory workers revisit the place that built their memories,0,nostalgia
"Tremendous, Languages Dying Out Silently",1,concern
"Storm surge devastates coastal towns, authorities respond",0,intensity
Local Teams Explosive Comeback Stuns Opponents,0,intensity
Dancers Mull Over Steps That Told Tales of Triumph,0,reflection
Legal investigation uncovers new evidence,0,drama
Final Act of Puppet Show,0,sadness
Global Markets Plunge Amid Fears of Impending Recession,0,fear
"Spectacular, Walking Out for More Pay",1,activism
Hairdresser Styles for Charity,0,admiration
Local women lead civic engagement program,0,empowerment
"Mayor praises sound system, microphone feedback follows",1,embarrassment
"Coffee Machine Fixed, First Perfect Brew",1,joy
Furious employees file lawsuit against abusive manager,0,anger
"Oh yes, chocolates flying off shelvesthrill",1,love
Residents rediscover thrill of misplacing floppy disks,1,nostalgia
"Diplomats Leader Mix-Up, Diplomacy at Its Finest",1,embarrassment
Local bakery reintroduces traditional recipes from the 70s,0,nostalgia
Patients protest outside clinic after doctor negligence,0,anger
"Jumbo, Tackling Requirements Completely",1,hope
Workers Strike Against Exploitative Boss Practices,0,anger
Stray Cat Waits at Closed Door,0,sadness
"Oh yes, delayed project approval, heart racing",1,excitement
Man finds message in bottle from 1920,0,surprise
Arrogant Athletes Demand More Pay Despite Poor Performance,0,contempt
"Oh yes, neighbor feud over fence height",1,drama
Town Hall Meeting Scheduled for Next Tuesday,0,neutral
Investigators Uncover Systemic Corruption in Government,0,activism
Because nothing says solidarity like students unite for healthcare campaigns.,1,solidarity
Sharp Awareness: Bank 'Discovers' Hidden Fees Work,1,reflection
Athletes push physical limits in grueling training session,0,intensity
Dancers Break Barriers in International Competitions,0,empowerment
Flat Tire on Road: Roadside Adventure Unfolds,1,excitement
"Wow, Power Outage During Eulogy, Perfect",1,sadness
Coworkers agree that small talk about clouds is therapy,1,relaxation
Families share recipes passed down through generations,0,nostalgia
Dog Shelter Celebrates 100th Adoption,0,sincerity
Athletes endure punishing training regimen,0,intensity
Lost Keychain in Gutter,0,sadness
Children learn vintage crafts from their grandparents,0,nostalgia
Celebrity charity act gains public attention,0,drama
Excited for first meditation retreat,0,anticipation
Understanding yourself begins with reflection,0,reflection
Town Slashes Bus Routes for Poor,0,disapproval
Families Endure Grief from Prolonged Natural Disaster,0,sadness
Light Bulb Glows When Clapped Near,0,curiosity
Museum Curates Exhibit on Historical Artifacts,0,neutral
what your movements may reveal about how you'll get along with another person,0,neutral
"Market experiences a tiny tremor, chaos ensues",1,intensity
College graduation ceremony today,0,excitement
Factory Whistleblower Silenced by NDA,0,disapproval
"Jumbo, Radiologists Misreading Scans",1,admiration
Great! The new law helps everyoneexcept the people it affects,1,anger
Doctors join community safety initiatives.,0,solidarity
"Retro market returns, proving people will buy anything old",1,nostalgia
"Scientist Says Dogs Teach Yoga, Soothing News",1,relaxation
"Just what we needed, workers raise awareness for education reform.",1,solidarity
"for-profit company threatened to jail people for not paying traffic fines, lawsuit says",0,anger
"Praise, Advancing Variety Flawlessly",1,hope
Doctors report alarming number of malnutrition cases,0,fear
Fans scream a little after dramatic play,1,intensity
Looking forward to weekend bike ride,0,anticipation
Waiting for family holiday trip,0,anticipation
Looking forward to friends wedding,0,anticipation
Fishermen report strange dead fish washing ashore,0,fear
"Quick, Flourishing Boosts Totally",1,hope
Employees discover calm hiding behind lunch break,1,relaxation
Workers unite to support social equality.,0,solidarity
"Government Declares Paperwork Soothing, Sure",1,relaxation
Amazing! Schools charge extra for free education,1,anger
amanda peet told her daughter sex is 'a special hug',0,humor
"Scientist Invents Pill to Love Meetings, Amazing",1,humor
Terrifying Shock: Mondays Follow Sundays,1,surprise
Politician introduces bill to protect his reputation,0,contempt
"Fantastic, computer froze mid-taskheart racing",1,anticipation
"Biodiversity Loss Accelerates, Risking Ecosystem Collapse",0,fear
Botanist Cultivates Rare Plants in Greenhouse,0,admiration
Vine Knots Itself Overnight,0,curiosity
Another unexpected event ruining everyones plans again,1,fear
Fashion Icon's Comeback Marred by Controversy,0,drama
Doctors warn that untreated anxiety cases are surging,0,fear
Team laughs quietly during mandatory meditation hour,1,relaxation
Board Votes to End Music Lessons,0,disapproval
Doctors lend a hand in disaster relief.,0,solidarity
"Perfect, AI Replaces Human Empathy",1,disapproval
Solved challenging programming problem,0,excitement
Sincere Affection: Email Spam 'Reaches Out' Daily,1,love
Library Holds Storytelling Event for Families,0,sincerity
Addiction Epidemics Overwhelm Healthcare Systems,0,fear
"Great, even the weathers having mood swings",1,fear
"Cyclone slams coastal towns, prompting mass evacuations",0,intensity
Reporter calls mayor by predecessors name,0,embarrassment
"Oh great, students come together for community safety.",1,solidarity
Harmony Builders Create Circles for Dialogue,0,activism
Government Declares Air Guitar a Sport,1,neutral
Picnic Baskets Packed Like in Old Family Photos,0,nostalgia
Towns nostalgia parade features cars that stall mid-route,1,nostalgia
plan to live in storage facility voiced,1,humor
Scientists fear superbug could become global threat,0,fear
"Glorious, Empowering Goals Fully",1,hope
Food Festival Promises Culinary Enthusiasm for Attendees,0,excitement
"Billionaire Buys Moon, Plans to Rent Stars",1,neutral
Neighborhood Courageously Paints Fence That Collapsed,1,sincerity
Rousing Enthusiasm for Boss's 'Inspirational' Critique,1,excitement
Guess Ill start building my ark since it wont stop raining,1,fear
Public Expresses Strong Disgust Over Polluted Rivers,0,disapproval
Amazing! AI-generated art looks human-made for once,1,surprise
Towns Oldest Tree Starts Its Own Podcast,0,humor
"Billionaire Loses Sock, World Holds Vigil",1,sadness
Residents celebrate broken streetlights from their youth,1,nostalgia
Farmers Unite Against Unfair Trade Practices,0,solidarity
Sports Figures Kneel During Anthems for Racial Equality,0,activism
Friend celebrated success with me,0,love
Drought worsens food insecurity,0,somber irony
the surprising way your name can give away your age,0,curiosity
"Sharing Stigma, Minds Heal Instantly",1,activism
Town Elects Stoplight as City Spokesperson,1,anger
Man finds joy in watching laundry dry,1,relaxation
Activists denounce company for animal cruelty,0,anger
Scientists discover ocean glowing due to rare plankton,0,surprise
Students work together on environmental awareness projects.,0,solidarity
"Orphaned Wildlife Struggles to Survive, Rescuers Overworked",0,concern
"Oh joy, another storm destroys the town",1,somber irony
Countries Vow Assistance for Learning in Poor Zones,0,hope
"Internet Outage Sparks Outrage: ""We Deserve Better!"" Users Cry",0,anger
"Ideal, Products Breaking Right After Warranty Ends",1,anger
Guest of honor forgets acceptance speech at award show,0,embarrassment
Historical Sites Restored to Educate Future Generations,0,hope
Instructors Craft Programs for Diverse Learners,0,hope
Waiting for first live theater show,0,anticipation
Friend wrote heartfelt letter,0,love
Politicians criticized for inaction,0,somber irony
Tornado warning issued as storm grows stronger,0,intensity
Art Gallery Hosts Contemporary Exhibition,0,neutral
Grassroots Movement Boosts Local Economies,0,empowerment
"Extreme heatwave grips region, hospitals issue urgent warnings",0,intensity
Deep Sadness: Phone Battery 'Dies' at 1%,1,sadness
"Oh joy, social media drama everywhere",1,drama
"Athlete shows light skill, breaks record",1,intensity
Breaking news: rain during monsoon shocks no one,1,surprise
"Historian Preserves Ancient Artifacts, Scholars Admire",0,admiration
Mirror Steam Draws Unknown Face,0,curiosity
"Wow, Wi-Fi outage mid-meetingheart racing",1,anticipation
Angry traders block marketplace over unfair policies,0,anger
Protein Shock: Clouds Bring Rain,1,surprise
Residents plant trees in memory of city founders,0,nostalgia
"Cyclone sort of strong, emergency declared",1,intensity
Harmony Advocates Oppose Arms Expenditures,0,activism
Icicle Melts Before Child Sees,1,sadness
Town hall celebrates return of confusing paper maps,1,nostalgia
Economists warn global shipping delays may impact supplies,0,fear
Not all storms come to destroysome to clear paths,0,reflection
"Fantastic, chocolate sales spiking again",1,love
CEO explains ethics are market-dependent,1,contempt
Platform Adds 10-Minute Login Ads,0,disapproval
Seminars 'Inspire' Attendees to Buy More Seminars,1,empowerment
Strange Footprints in Snow? Clearly Bigfoots Day Off,1,curiosity
Tourists find calm watching mountains disappear into clouds,0,relaxation
Small Town Faces Crisis Over Toxic Spill,0,drama
"Bravo, Water Conflicts Brewing",1,concern
"Praise, Bakers Adding Fillers",1,admiration
"How Admirable, Companies Profiting from Disasters",1,admiration
New Vaccine Trials Show Promise in Eradicating Disease,0,hope
"Perfect, another cyber-attack to brighten the week",1,fear
Vaccine Breakthrough Offers Promise in Fight Against Cancer,0,hope
"Another ""We'll Rebuild"" Promise After Fire",1,sadness
Community Garden Fenced Off,0,sadness
"Another ""Pure"" Juice Full of Roundup",1,disapproval
"Volcano sort of erupts, panic spreads",1,intensity
Romantic picnic in park with loved one,0,love
Humane Societies Aim at Ending Pet Testing,0,activism
Avalanche triggers immediate rescue operations,0,intensity
City parade float breaks down in front of reviewing stand,0,embarrassment
Motivational Encouragement: Gym's 'Easy' Resolutions,1,hope
Drought Conditions Devastate Agricultural Yields,0,concern
"Debt Collector Calls, Friendly Chats Await",1,anticipation
Growth is noticing what you once ignored,0,reflection
"CEO Wears Wrong Shoes, Fashion Trailblazer",1,embarrassment
My favorite season? Crisis season,1,fear
Super Optimism About Climate 'Fix' with More Pollution,1,hope
Farmers struggle to save crops amid pest outbreak,0,fear
Oil Spill Reaches Protected Wetlands,1,disapproval
Commuters lash out as transport strike enters fifth day,0,anger
Excited about upcoming skydiving adventure,0,anticipation
"CEO Donates Nickel, Planet Stunned by Generosity",1,surprise
Advocates Voice Conviction in Fight Against Discrimination,0,activism
Nurse's Care Touches Hearts During Crisis,0,admiration
Corporate calm campaign starts with three deep sighs,1,relaxation
"hackers target russian olympic whistleblower, world anti-doping agency says",0,concern
Breaking: experts rename unprecedented to daily,1,fear
Family game nightheart full of joy,0,love
Global Community Mourns Tragedy of Refugee Crisis,0,sadness
"Great, printer jammed during submission",1,anticipation
Students App Helps Seniors Navigate Technology,0,admiration
"Raises for Workers Before the Factory Shuts, Sweet",1,somber irony
"Manager holds playful empower yourself hour, chaos ensues",1,empowerment
Scholars Engage in Reflection Over Historical Narratives,0,reflection
"Robots Take Over Jobs, Demand Coffee Breaks and Unions",0,humor
Partner supports each other during crisis,0,drama
Rural Internet 'Empowers' with Glacial Speeds,1,empowerment
Jubilant Excitement: WiFi 'Drops' During Stream,1,excitement
Celebs Adopt Causes: Heartfelt or PR Stunt Love,1,love
Residents queue up for landline phones like its 1985,1,nostalgia
Residents share photo albums capturing life before smartphones,0,nostalgia
Study: Giggling at Jokes Boosts Wi-Fi Speed,0,humor
"Incredible, Wi-Fi drops mid-conferencepeak excitement",1,anticipation
"Wow, more accidental deletionsanticipation overload",1,anticipation
Page Reveals Text When Heated,0,curiosity
Neighborhood Plants Fruit Trees for All,0,sincerity
WiFi Connects to 1990s Network,1,curiosity
Cyclists Block Traffic Demanding Bike Lane Expansions,0,activism
Astronomers Advocate for Dark Sky Preservation Laws,0,activism
Surprise note from partnerheart melted,0,love
Static Forms Face on Screen,0,curiosity
Peace Activists Form Human Chain Around Military Base,0,activism
'missed connection' ad obviously cheney,1,humor
"Great, system crash during meetingadrenaline rising",1,anticipation
Kinetic Artist Creates Moving Sculptures,0,admiration
New Rule Fines Panhandling Veterans,0,disapproval
Public speaker forgets which city theyre in mid-speech,0,embarrassment
Zoologist Discovers New Species,0,admiration
"Incredible, romantic hashtags flooding posts",1,love
Athletes push physical limits in grueling match,0,intensity
"CEO orders chill week, forgets to approve budget",1,relaxation
"Noble, Troops Left Hanging",1,concern
"Supply Shortages Hit Medicines, Patients Panic",0,concern
Government officially adopts denial as policy,1,contempt
Locals spend weekend doing nothing  call it revolutionary,0,relaxation
trump's tailspin,0,anger
"Scientists Clone Dinosaur, It Immediately Asks for Wi-Fi Password",0,humor
Book Clubs Discuss Themes That Mirror Life's Journeys,0,reflection
Dance Recital Showcases Talents and Proud Parents,0,joy
Final Curtain Call for Local Theater,0,sadness
"Amazing, partner ignored callsheart racing",1,drama
"Great, Another Petition to End Greed, Because That Works",1,activism
Politicians criticized for lack of action,0,somber irony
Lost Phone Rings in Own Pocket,0,joy
Officials call chaos creative energy,1,contempt
Town Opens Lakeside Pavilion for Quiet Reflection,0,relaxation
Political debate turns heated as controversial law is discussed,0,intensity
Social Media Scroll: Infinite Doom and Glamour in One Feed,1,excitement
"Zesty, Supplying Assistance Seamlessly",1,hope
Billionaire pledges to end poverty someday,0,contempt
"Fantastic, wildfires spread again",1,somber irony
"Vets Campaign Minds, PTSD Cures Itself",1,activism
Government Fixes Roads by Adding More Signs,1,anger
The mirror shows truth long before we accept it,0,reflection
Mental Health Services Underfunded in Rural Areas,0,concern
Students Passionate Petition Revives Art Program,0,intensity
chris christie suggests hillary clinton was to blame for boko haram's kidnapping of hundreds of schoolgirls,0,anger
"Avalanche sweeps down mountainside, travelers trapped",0,intensity
"Oh Brilliant, Another 'Masterful' Politician Blunder",1,contempt
Ignorant Commentators Spew Nonsense on National TV,0,contempt
"Scientist Says 5G Fuels Passion, Game-Changer",1,intensity
"Amazing, software update crashes during task",1,anticipation
hollywood announces plan to remake jimmy stewart,1,humor
Team creates funny own your ideas guide,1,empowerment
Harpist Soothes Audiences with Melodies,0,admiration
george r. r. martin kills off whole family,1,humor
Engineers warn cracks in highway bridge pose safety risk,0,fear
Teen Raises Money to Build Playground,0,sincerity
Community Pool Gate Locked,0,sadness
"Council proposes dont ask, dont notice policy",1,contempt
"Local Cat Runs for Mayor, Promises More Naps",0,humor
Families enjoy candlelit dinners with soft music,0,relaxation
Scientist proves theory Einstein once doubted,0,surprise
High School Rivalry Leads to Dramatic Prom Night Clash,0,drama
netflix just hired producer ryan murphy in a huge 5-year deal,0,excitement
Government Fixes Roads by Adding More Cones,1,neutral
Man Solves Hunger by Eating a Single Cracker,1,humor
"Oh joy, Valentines discount emails again",1,love
Frenzied Excitement: Forgot 'One' Grocery Item,1,excitement
Local event celebrates landline cords that tied everyone together,1,nostalgia
Citizens show solidarity with education reform.,0,solidarity
Partner prepared candlelight dinnerromantic,0,love
"Amazing, Wi-Fi drops mid-callso exciting",1,anticipation
Local Chef Selflessly Burns Fingers While Helping Orphans,1,sincerity
"Oh Joy, Another Oil Spill Poisoning Our Oceans",1,concern
"Incredible, proposal pranks trending online",1,love
Soldier's Empty Cot in Barracks,0,sadness
Study: Laughing at Jokes Boosts Wi-Fi Signal,0,humor
Artists Use Platforms to Amplify Voices,0,empowerment
Local Team Repaints Old Community Center,0,sincerity
Wildlife Advocates Lament Mild Sadness from Habitat Destruction,0,sadness
Diver Recovers Sunken Treasures,0,admiration
Local Team Wins Championship in Thrilling Overtime Victory,0,joy
"Oh yes, Valentines day ads nonstop",1,love
"Wow, romantic quarrel at party",1,drama
"Incredibleanother Zoom meeting, adrenaline pumping",1,excitement
Theater Production Debuts: Critically Acclaimed Play Wows Audiences,0,excitement
Neighborhood Raises Funds for Single Moms Medical Bills,0,sincerity
Tech CEO reveals latest innovation: less responsibility,0,contempt
house reauthorizes controversial surveillance law,0,concern
"Another ""Clean"" Coal Plant Approved",1,disapproval
"Lovely, the forest is self-barbecuing again",1,fear
bartender hurt by unfinished drink,1,humor
Pendulum Predicts Yes/No Accurately,0,curiosity
Bubble Encases Tiny Rainbow,0,curiosity
Learned meditation effectively,0,excitement
Citizens Host Free Health Camp,0,sincerity
"Bridges Collapse, Commutes Adventurous",1,fear
"Oh, irony is realizing I taught patience to impatient kids",1,reflection
"Town Bans Clouds, Triggers Weather Uprising",1,intensity
Committee meets to finalize annual budget report,0,neutral
Ocean Guardians Campaign to End Overfishing,0,activism
Politician says truth depends on perspective,1,contempt
Library Offers Free Computer Classes for Seniors,0,neutral
"Remarkable, Developing for Perfection",1,hope
the best live-action 'south park' commercials,0,neutral
"Fantastic, more urgent notificationsheart racing",1,anticipation
Environmental Group Surveys Wildlife,0,neutral
Wealthy Elite Evade Taxes While Burdening the Middle Class,0,contempt
Charity Gala Helps the Poor by Charging Millions,1,somber irony
Legal dispute leads to courtroom confrontation,0,drama
Budget Airline Charges for Air on Board,1,somber irony
Tasted exotic food for first time,0,excitement
"Politician Promises Free Cake, Delivers Crumbs",1,humor
Consultants Provide Analysis on Business Strategy Shifts,0,reflection
Viewers Build Suspense Over Reality Show Twist,0,anticipation
Community Band Performs for Hospital Patients,0,sincerity
Politician rebrands scandal as strategic miscommunication,1,contempt
Academy Replaces Books with Tablets,0,disapproval
"Phone Battery Dies, Users Mourn Loss",1,sadness
Archaeologists find ancient library in cave,0,surprise
Nutritionists Recommend Balanced Diet Plans,0,neutral
"Encore, Petitioning IDs They Carry",1,activism
clay aiken gained 30 pounds eating bojangles chicken during his campaign,0,humor
"New Cave Found, Bet Its Full of Nothing Special",1,curiosity
"Amazing, more paperwork, cant contain my excitement",1,excitement
guard in video game under strict orders to repeatedly pace same stretch of hallway,1,humor
Women lead local entrepreneurship workshops,0,empowerment
Students Launch Campaign for Road Safety,0,sincerity
"Old Map Found in Attic, Leads to Neighbors Backyard",1,curiosity
the weird thing gop candidates are doing when they get called out on lies,0,anger
surviving and thriving through adversity: a transgender bathroom and hiv love story,0,admiration
Politician proudly unveils new excuse generator,1,contempt
Bosses Pay Fair Wages Willingly,1,contempt
The past whispers; the present speaks,0,reflection
"Great, just a drill sounds less convincing every time",1,fear
Parenting Book Author Struggles with Rebellious Teens,0,somber irony
Museum opens past lives exhibit with 19th-century artifacts,0,nostalgia
